INFO  - 2018-04-08 21:38:59.835; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:02.835; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:05.836; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:08.836; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:11.837; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:14.838; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:17.838; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:20.839; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:23.840; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:26.840; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:29.841; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:32.842; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:35.842; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 21:39:38.843; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
